API Name,Endpoint,Method,Integrated,Testing Status,Completion %
GET /api/graph-oauth/callback,/api/graph-oauth/callback,GET,Yes,Automated coverage missing,72
GET /api/graph-oauth/start,/api/graph-oauth/start,GET,Yes,Automated coverage missing,72
GET /api/health,/api/health,GET,Yes,Automated coverage missing,72
POST /api/leads/create-campaign,/api/leads/create-campaign,POST,Yes,Automated coverage missing,72
GET /api/leads/pipeline,/api/leads/pipeline,GET,Yes,Automated coverage missing,72
POST /api/lists/:id/normalize-emails,/api/lists/:id/normalize-emails,POST,Yes,Automated coverage missing,72
GET /api/lists/:id,/api/lists/:id,GET,Yes,Automated coverage missing,72
PATCH /api/lists/:id,/api/lists/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/lists/:id,/api/lists/:id,DELETE,Yes,Automated coverage missing,72
POST /api/lists/custom,/api/lists/custom,POST,Yes,Automated coverage missing,72
GET /api/lists,/api/lists,GET,Yes,Automated coverage missing,72
GET /api/mail-overview,/api/mail-overview,GET,Yes,Automated coverage missing,72
GET /api/mailbox-folders,/api/mailbox-folders,GET,Yes,Automated coverage missing,72
GET /api/mailbox/accounts,/api/mailbox/accounts,GET,Yes,Automated coverage missing,72
GET /api/mailbox/folders,/api/mailbox/folders,GET,Yes,Automated coverage missing,72
POST /api/mailbox/forward,/api/mailbox/forward,POST,Yes,Automated coverage missing,72
POST /api/mailbox/messages/:id/archive,/api/mailbox/messages/:id/archive,POST,Yes,Automated coverage missing,72
POST /api/mailbox/messages/:id/delete,/api/mailbox/messages/:id/delete,POST,Yes,Automated coverage missing,72
POST /api/mailbox/messages/:id/mark-read,/api/mailbox/messages/:id/mark-read,POST,Yes,Automated coverage missing,72
GET /api/mailbox/messages/:id,/api/mailbox/messages/:id,GET,Yes,Automated coverage missing,72
GET /api/mailbox/messages,/api/mailbox/messages,GET,Yes,Automated coverage missing,72
POST /api/mailbox/reply,/api/mailbox/reply,POST,Yes,Automated coverage missing,72
POST /api/mailbox/send,/api/mailbox/send,POST,Yes,Automated coverage missing,72
GET /api/outlook/accounts,/api/outlook/accounts,GET,Yes,Automated coverage missing,72
POST /api/outlook/archive,/api/outlook/archive,POST,Yes,Automated coverage missing,72
UNKNOWN /api/outlook/callback,/api/outlook/callback,UNKNOWN,Review required,Automated coverage missing,40
UNKNOWN /api/outlook/connect,/api/outlook/connect,UNKNOWN,Review required,Automated coverage missing,40
POST /api/outlook/delete,/api/outlook/delete,POST,Yes,Automated coverage missing,72
POST /api/outlook/draft,/api/outlook/draft,POST,Yes,Automated coverage missing,72
UNKNOWN /api/outlook/folders,/api/outlook/folders,UNKNOWN,Review required,Automated coverage missing,40
UNKNOWN /api/outlook/forward,/api/outlook/forward,UNKNOWN,Review required,Automated coverage missing,40
POST /api/outlook/mark-read,/api/outlook/mark-read,POST,Yes,Automated coverage missing,72
UNKNOWN /api/outlook/message/:id,/api/outlook/message/:id,UNKNOWN,Review required,Automated coverage missing,40
UNKNOWN /api/outlook/messages,/api/outlook/messages,UNKNOWN,Review required,Automated coverage missing,40
UNKNOWN /api/outlook/reply,/api/outlook/reply,UNKNOWN,Review required,Automated coverage missing,40
UNKNOWN /api/outlook/send,/api/outlook/send,UNKNOWN,Review required,Automated coverage missing,40
POST /api/preset-senders,/api/preset-senders,POST,Yes,Automated coverage missing,72
GET /api/profile/overview,/api/profile/overview,GET,Yes,Automated coverage missing,72
POST /api/profile/password,/api/profile/password,POST,Yes,Automated coverage missing,72
GET /api/profile,/api/profile,GET,Yes,Automated coverage missing,72
PATCH /api/profile,/api/profile,PATCH,Yes,Automated coverage missing,72
GET /api/projects,/api/projects,GET,Yes,Automated coverage missing,72
GET /api/reports/credits,/api/reports/credits,GET,Yes,Automated coverage missing,72
GET /api/reports/overview,/api/reports/overview,GET,Yes,Automated coverage missing,72
GET /api/reports/project-wise,/api/reports/project-wise,GET,Yes,Automated coverage missing,72
GET /api/reports/sender-health,/api/reports/sender-health,GET,Yes,Automated coverage missing,72
GET /api/reports/warmup,/api/reports/warmup,GET,Yes,Automated coverage missing,72
POST /api/send-test,/api/send-test,POST,Yes,Automated coverage missing,72
GET /api/sender-ids,/api/sender-ids,GET,Yes,Automated coverage missing,72
POST /api/sender-ids,/api/sender-ids,POST,Yes,Automated coverage missing,72
GET /api/stats,/api/stats,GET,Yes,Automated coverage missing,72
GET /api/subscription,/api/subscription,GET,Yes,Automated coverage missing,72
POST /api/subscription/upgrade,/api/subscription/upgrade,POST,Yes,Automated coverage missing,72
GET /api/target-approval,/api/target-approval,GET,Yes,Automated coverage missing,72
PATCH /api/target-approval,/api/target-approval,PATCH,Yes,Automated coverage missing,72
PATCH /api/tasks/:id,/api/tasks/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/tasks/:id,/api/tasks/:id,DELETE,Yes,Automated coverage missing,72
GET /api/tasks,/api/tasks,GET,Yes,Automated coverage missing,72
POST /api/tasks,/api/tasks,POST,Yes,Automated coverage missing,72
GET /api/templates,/api/templates,GET,Yes,Automated coverage missing,72
POST /api/templates,/api/templates,POST,Yes,Automated coverage missing,72
POST /api/timeline-tasks/:id/complete,/api/timeline-tasks/:id/complete,POST,Yes,Automated coverage missing,72
POST /api/timeline-tasks/:id/note,/api/timeline-tasks/:id/note,POST,Yes,Automated coverage missing,72
POST /api/timeline-tasks/:id/reassign,/api/timeline-tasks/:id/reassign,POST,Yes,Automated coverage missing,72
PATCH /api/timeline-tasks/:id,/api/timeline-tasks/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/timeline-tasks/:id,/api/timeline-tasks/:id,DELETE,Yes,Automated coverage missing,72
GET /api/timeline-tasks,/api/timeline-tasks,GET,Yes,Automated coverage missing,72
POST /api/timeline-tasks,/api/timeline-tasks,POST,Yes,Automated coverage missing,72
POST /api/uploads/commit,/api/uploads/commit,POST,Yes,Automated coverage missing,72
POST /api/uploads/preview,/api/uploads/preview,POST,Yes,Automated coverage missing,72
POST /api/uploads,/api/uploads,POST,Yes,Automated coverage missing,72
GET /api/uploads,/api/uploads,GET,Yes,Automated coverage missing,72
GET /api/warmup-auto-reply,/api/warmup-auto-reply,GET,Yes,Automated coverage missing,72
POST /api/warmup-auto-reply,/api/warmup-auto-reply,POST,Yes,Automated coverage missing,72
GET /api/warmup-dashboard,/api/warmup-dashboard,GET,Yes,Automated coverage missing,72
POST /api/warmup-dashboard,/api/warmup-dashboard,POST,Yes,Automated coverage missing,72
GET /api/warmup/conversations,/api/warmup/conversations,GET,Yes,Automated coverage missing,72
GET /api/warmup/drafts,/api/warmup/drafts,GET,Yes,Automated coverage missing,72
GET /api/warmup/leads,/api/warmup/leads,GET,Yes,Automated coverage missing,72
GET /api/warmup/logs,/api/warmup/logs,GET,Yes,Automated coverage missing,72
POST /api/warmup/pause,/api/warmup/pause,POST,Yes,Automated coverage missing,72
GET /api/warmup/projects,/api/warmup/projects,GET,Yes,Automated coverage missing,72
POST /api/warmup/run-next,/api/warmup/run-next,POST,Yes,Automated coverage missing,72
GET /api/warmup/senders,/api/warmup/senders,GET,Yes,Automated coverage missing,72
GET /api/warmup/sheets,/api/warmup/sheets,GET,Yes,Automated coverage missing,72
POST /api/warmup/sheets,/api/warmup/sheets,POST,Yes,Automated coverage missing,72
POST /api/warmup/sheets/upload,/api/warmup/sheets/upload,POST,Yes,Automated coverage missing,72
POST /api/warmup/start-auto-communication,/api/warmup/start-auto-communication,POST,Yes,Automated coverage missing,72
POST /api/warmup/start,/api/warmup/start,POST,Yes,Automated coverage missing,72
POST /api/warmup/stop,/api/warmup/stop,POST,Yes,Automated coverage missing,72
POST /api/warmup/upload,/api/warmup/upload,POST,Yes,Automated coverage missing,72
PATCH /api/work-updates/:id,/api/work-updates/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/work-updates/:id,/api/work-updates/:id,DELETE,Yes,Automated coverage missing,72
GET /api/work-updates,/api/work-updates,GET,Yes,Automated coverage missing,72
POST /api/work-updates,/api/work-updates,POST,Yes,Automated coverage missing,72
GET /api/worker-health,/api/worker-health,GET,Yes,Automated coverage missing,72
GET /api/worker/tick,/api/worker/tick,GET,Yes,Automated coverage missing,72
POST /api/worker/tick,/api/worker/tick,POST,Yes,Automated coverage missing,72
